target_id	length	eff_length	est_counts	tpm
ACX4JX_010408-T1	71	72	129	158.455
ACX4JX_009113-T1	3977	3978	1668.41	37.0926
ACX4JX_010249-T1	71	72	26.2857	32.2876
ACX4JX_010264-T1	71	72	26.2857	32.2876
ACX4JX_010265-T1	71	72	26.2857	32.2876
ACX4JX_010280-T1	71	72	26.2857	32.2876
ACX4JX_010295-T1	71	72	26.2857	32.2876
ACX4JX_010320-T1	71	72	26.2857	32.2876
ACX4JX_010334-T1	71	72	26.2857	32.2876
ACX4JX_010353-T1	71	72	26.2857	32.2876
ACX4JX_010367-T1	71	72	26.2857	32.2876
ACX4JX_010382-T1	71	72	26.2857	32.2876
ACX4JX_010383-T1	71	72	26.2857	32.2876
ACX4JX_010391-T1	71	72	26.2857	32.2876
ACX4JX_010427-T1	71	72	26.2857	32.2876
ACX4JX_010447-T1	71	72	26.2857	32.2876
ACX4JX_010248-T1	71	72	22.2727	27.3583
ACX4JX_010263-T1	71	72	22.2727	27.3583
ACX4JX_010279-T1	71	72	22.2727	27.3583
ACX4JX_010294-T1	71	72	22.2727	27.3583
ACX4JX_010309-T1	71	72	22.2727	27.3583
ACX4JX_010319-T1	71	72	22.2727	27.3583
ACX4JX_010333-T1	71	72	22.2727	27.3583
ACX4JX_010366-T1	71	72	22.2727	27.3583
ACX4JX_010405-T1	71	72	22.2727	27.3583
ACX4JX_010412-T1	71	72	22.2727	27.3583
ACX4JX_010446-T1	71	72	22.2727	27.3583
ACX4JX_010245-T1	73	74	15.8235	18.9112
ACX4JX_010260-T1	73	74	15.8235	18.9112
ACX4JX_010276-T1	73	74	15.8235	18.9112
ACX4JX_010291-T1	73	74	15.8235	18.9112
ACX4JX_010306-T1	73	74	15.8235	18.9112
ACX4JX_010316-T1	73	74	15.8235	18.9112
ACX4JX_010343-T1	73	74	15.8235	18.9112
ACX4JX_010364-T1	73	74	15.8235	18.9112
ACX4JX_010402-T1	73	74	15.8235	18.9112
ACX4JX_010409-T1	73	74	15.8235	18.9112
ACX4JX_010424-T1	73	74	15.8235	18.9112
ACX4JX_010438-T1	73	74	15.8235	18.9112
ACX4JX_010443-T1	73	74	15.8235	18.9112
ACX4JX_010465-T1	73	74	15.8235	18.9112
ACX4JX_010468-T1	73	74	15.8235	18.9112
ACX4JX_010475-T1	73	74	15.8235	18.9112
ACX4JX_010527-T1	73	74	15.8235	18.9112
ACX4JX_005617-T1	85	86	17	17.4823
ACX4JX_010246-T1	85	86	17	17.4823
ACX4JX_010261-T1	85	86	17	17.4823
ACX4JX_010277-T1	85	86	17	17.4823
ACX4JX_010292-T1	85	86	17	17.4823
ACX4JX_010307-T1	85	86	17	17.4823
ACX4JX_010317-T1	85	86	17	17.4823
ACX4JX_010344-T1	85	86	17	17.4823
ACX4JX_010403-T1	85	86	17	17.4823
ACX4JX_010410-T1	85	86	17	17.4823
ACX4JX_010439-T1	85	86	17	17.4823
ACX4JX_010444-T1	85	86	17	17.4823
ACX4JX_010466-T1	85	86	17	17.4823
ACX4JX_010467-T1	85	86	17	17.4823
ACX4JX_010476-T1	85	86	17	17.4823
ACX4JX_010477-T1	85	86	17	17.4823
ACX4JX_010526-T1	85	86	17	17.4823
ACX4JX_010247-T1	71	72	13	15.9683
ACX4JX_010262-T1	71	72	13	15.9683
ACX4JX_010278-T1	71	72	13	15.9683
ACX4JX_010293-T1	71	72	13	15.9683
ACX4JX_010308-T1	71	72	13	15.9683
ACX4JX_010318-T1	71	72	13	15.9683
ACX4JX_010332-T1	71	72	13	15.9683
ACX4JX_010345-T1	71	72	13	15.9683
ACX4JX_010404-T1	71	72	13	15.9683
ACX4JX_010411-T1	71	72	13	15.9683
ACX4JX_010425-T1	71	72	13	15.9683
ACX4JX_010445-T1	71	72	13	15.9683
ACX4JX_010244-T1	73	74	12.7059	15.1852
ACX4JX_010259-T1	73	74	12.7059	15.1852
ACX4JX_010275-T1	73	74	12.7059	15.1852
ACX4JX_010290-T1	73	74	12.7059	15.1852
ACX4JX_010305-T1	73	74	12.7059	15.1852
ACX4JX_010315-T1	73	74	12.7059	15.1852
ACX4JX_010330-T1	73	74	12.7059	15.1852
ACX4JX_010342-T1	73	74	12.7059	15.1852
ACX4JX_010363-T1	73	74	12.7059	15.1852
ACX4JX_010401-T1	73	74	12.7059	15.1852
ACX4JX_010423-T1	73	74	12.7059	15.1852
ACX4JX_010437-T1	73	74	12.7059	15.1852
